Store,Address,Hours,Notes
Saar's Super Saver Foods," 1702 Auburn Way N, Auburn, WA 98002", Mon-Sat: 7 am to 7 pm,
Safeway," 101 Auburn Way S, Auburn, WA 98002", Mon-Sun: 9 am to 9 pm,
QFC," 1510 145th PL SE, Bellevue, WA 98007", Mon-Sun: 10 am to 7 pm,
QFC, 3550 12th Ave, Mon-Sun: 9 am to 9 pm,
QFC," 10116 NE 8th St, Bellevue, WA 98004", Mon-Sun: 10 am to 7 pm,
QFC," 15600 NE 8th St, Bellevue, WA 98008", Mon-Sun: 7:30 am to 8 pm, Bldg K-1
Safeway," 300 Bellevue Way NE, Bellevue, WA 98004", Mon-Sun: 9 am to 9 pm,
QFC," 18921 Bothell Way NE, Bothell, WA 98011", Mon-Sun: 9 am to 9 pm ,
Safeway," 138 SW 148th St, Burien, WA 98166", Mon-Sun: 9 am to 9 pm,
Safeway," 21401 Pacific Hwy S, Des Moines, WA 98198", Mon-Sun: 9 am to 9 pm,
Safeway," 27035 Pacific Hwy S, Des Moines, WA 98198", Mon-Sun: 9 am to 9 pm,
QFC," 1009 Monroe St, Enumclaw, WA 98022", Mon-Sun: 9 am to 7 pm ,
Safeway," 2109 SW 336th St, Federal Way, WA 98023", Mon-Sun: 9 am to 8 pm,
Safeway," 1207 S 320th St, Federal Way, WA 98003", Mon-Sun: 9 am to 9 pm,
QFC," 1540 Gilman Blvd, Issaquah, WA 98027", Mon-Sun: 7 am - 11 pm,
QFC," 2902 228th Ave SE, Sammamish, WA 98075", Mon-Sun: 10 am - 7 pm,
QFC," 4570 Klahanie Dr SE, Issaquah, WA 98029", Mon-Sun: 7 am - 7 pm,
Safeway," 1451 Highland Dr NE, Issaquah, WA 98029", Mon-Sun: 9 am - 9 pm,
Safeway," 6850 NE Bothell Way, Kenmore, WA 98028", Mon-Sun: 9 am - 9 pm,
QFC," 13304 SE 240th St, Kent, WA 98042", Mon-Sun: 9 am to 9 pm,
Safeway," 210 Washington Ave S, Kent, WA 98032", Mon-Sun: 9 am to 9 pm,
Safeway," 13101 SE Kent-Kangley Rd, Kent, WA 98030", Mon-Sun: 9 am to 9 pm,
QFC," 211 Parkplace Center, Kirkland, WA 98033", Mon-Sun: 9 am to 9 pm,
QFC," 11224 NE 124th St, Kirkland, WA 98034", Mon-Sun: 8 am to 9 pm,
Safeway," 12519 NE 85th, Kirkland, WA 98033", Mon-Sun: 9 am to 9 pm,
QFC," 7823 SE 28th St, Mercer Island, WA 98040", Mon-Sun: 7:30 am to 7 pm,
Safeway," 6911 Coal Creek Parkway, Newcastle, WA 98059", Mon-Sun: 9 am to 9 pm,
QFC," 17847 1st Ave S, Normandy Park, WA 98148", Mon-Sun: 9 am to 9 pm ,
QFC," 460 East North Bend Way, North Bend, WA 98045", Mon-Sun: 9 am to 9 pm,
Safeway," 460 SW Mount Si Blvd, North Bend, WA 98045", Mon-Sun: 9 am to 9 pm,
QFC," 8867 161st Ave NE, Redmond, WA 98052", Mon-Sun: 7 am to 7 pm,
QFC," 15800 Redmond Way NE, Redmond, WA 98052", Mon-Sun: 9 am to 7 pm,
QFC," 23475 Novelty Hill Rd, Redmond, WA 98053", Mon-Sun: 9 am to 9 pm,
Safeway," 15000 NE 24th St, Redmond, WA 98052", Mon-Sun: 10 am to 9 pm,
Safeway," 17246 Redmond Way NE, Redmond, WA 98052", Mon-Sun: 9 am to 9 pm ,
QFC," 4800 NE 4th St, Renton, WA 98059", Mon-Sun: 9 am to 7 pm,
Saar's MarketPlace," 3208 NE Sunset Blvd, Renton, WA 98056", Mon-Sat: 7 am to 7 pm,
Safeway," 200 South 3rd St, Renton, WA 98057", Mon-Sun: 9 am to 9 pm,
Safeway," 630 228th Ave NE, Sammamish, WA 98074", Mon-Sun: 9 am to 9 pm,
Safeway," 4011 S 164th St, SeaTac, WA, 98188", Mon-Sun: 9 am to 9 pm,
Bartell Drugs," 1404 3rd Ave, Seattle, WA 98101", Mon-Fri: 8 am to 8 pm; Sat: 9 am to 6 pm; Sun: 10 am to 5 pm., Add value only
QFC," 500 Mercer St, Seattle, WA 98109", Mon-Sun: 9 am to 7 pm,
QFC," 1600 W Dravus St, Seattle, WA 98119", Mon-Sun: 24 hours,
QFC," 5700 24th Ave NW, Seattle, WA 98107", Mon-Sun: 11 am to 8 pm,
QFC," 9999 Holman Rd NW, Seattle, WA 98117", Mon-Sun: 10 to 8 pm,
Safeway," 1423 NW Market St, Seattle, WA 98107", Sun-Thu: 10 am to 8 pm; Fri-Sat: 10 am to 9 pm  ,
QFC," 2500 SW Barton St, Seattle, WA 98126", Mon-Sun: 11 am to 7pm,
QFC," 4550 42nd Ave SW, Seattle, WA 98116", Mon-Sun: 10 am to 7 pm,
Safeway," 2622 California Ave SW, Seattle, WA 98116", Mon-Sun: 9 am to 9 pm,
Safeway," 4754 42nd Ave SW, Seattle, WA 98116", Mon-Sun: 9 am to 9 pm,
QFC," 2707 Rainier Ave S, Seattle, WA 98144", Mon-Sun: 10 am to 6 pm,
QFC," 417 Broadway Ave E, Seattle, WA 98102", Mon-Sun: 8:45 am to 9 pm ,
QFC," 1401 Broadway, Seattle WA, 98122", Mon-Sun: 9 am to 9 pm ,
Safeway," 1410 E John St, Seattle, WA 98112", Mon-Sun: 9 am to 9 pm,
Safeway," 2201 E Madison St, Seattle, WA 98122", Mon-Sun: 9 am to 9 pm,
Safeway," 3820 Rainier Ave S, Seattle, WA 98118", Mon-Sun: 9 am to 9 pm,
Safeway," 9262 Rainier Ave S, Seattle, WA 98118", Mon-Sun: 9:30 am to 8 pm,
QFC," 1801 N 45th St, Seattle, WA 98103", Mon-Sun: 9 am to 7 pm,
QFC," 1531 NE 145th St, Seattle, WA 98155", Mon-Sun: 24 hours,
QFC," 2746 NE 45th St, Seattle, WA 98105", Mon-Sun: 9 am to 8 pm ,
